timestamp,city,country,description,temp,humidity,pressure,wind,long,lat
1748434665,Oko,NG,broken clouds,31.49,66,1013,1.2,5.5938,6.2995
1748434686,Awka,NG,overcast clouds,32.01,61,1013,0.58,7.0741,6.2101
1748437869,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748437869,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748438621,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748438621,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748438621,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748438621,Lagos,NG,overcast clouds,32.16,57,1012,3.36,3.75,6.5833
1748439636,Oba,NG,light rain,32.16,52,1011,2.01,5.725,7.373
1748439648,Agulu,NG,broken clouds,32.1,57,1011,1.76,7.0724,6.11
1748439636,Oba,NG,light rain,32.16,52,1011,2.01,5.725,7.373
1748439636,Oba,NG,light rain,32.16,52,1011,2.01,5.725,7.373
1748439648,Agulu,NG,broken clouds,32.1,57,1011,1.76,7.0724,6.11
1748439503,Lagos,NG,overcast clouds,31.6,59,1012,3.6,3.75,6.5833
1748440154,Oba,NG,broken clouds,32.16,52,1011,2.01,5.725,7.373
1748442607,Ukpor,NG,overcast clouds,31.53,60,1011,2.07,6.9167,5.95
1748442621,Nnewi,NG,broken clouds,31.32,59,1011,2.07,6.9148,6.0199
1748442629,Oba,NG,broken clouds,31.36,55,1011,2.54,5.725,7.373
1748442641,Awka,NG,broken clouds,32.19,56,1011,2.08,7.0741,6.2101
1748442649,Obosi,NG,broken clouds,31.98,59,1011,2.18,6.8177,6.0951
1748442657,Asaba,NG,overcast clouds,31.19,62,1011,2.29,6.7338,6.2006
1748443164,Lagos,NG,overcast clouds,30.53,64,1012,3.05,3.75,6.5833
1748443245,Asaba,NG,overcast clouds,31.19,62,1011,2.29,6.7338,6.2006
